epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4044.77,0.61177,0.37054,0.90599,0.9108,0.94606,0.96525,0.82804,0.64582,0.3988,0.94105,0.0011882,0.0011882,0.0011882
43,4141.52,0.61228,0.36909,0.90398,0.86214,0.93627,0.9273,0.7842,0.71468,0.48328,0.99619,0.0011684,0.0011684,0.0011684
44,4238.26,0.61162,0.36788,0.90366,0.8663,0.94407,0.92858,0.78444,0.68947,0.47526,0.98317,0.0011486,0.0011486,0.0011486
45,4334.92,0.60358,0.3639,0.90428,0.87047,0.93105,0.9389,0.79783,0.69421,0.46964,0.98747,0.0011288,0.0011288,0.0011288
46,4435.81,0.60605,0.3626,0.90263,0.86922,0.92813,0.92962,0.77533,0.7455,0.51374,1.02624,0.001109,0.001109,0.001109
47,4537.69,0.60284,0.36248,0.90315,0.95109,0.95641,0.98199,0.85417,0.60107,0.34611,0.91063,0.0010892,0.0010892,0.0010892
48,4638.53,0.59912,0.36104,0.90034,0.90575,0.94542,0.9569,0.82551,0.63868,0.40075,0.93436,0.0010694,0.0010694,0.0010694
49,4741.39,0.60251,0.35947,0.90198,0.94198,0.95782,0.97881,0.84927,0.61386,0.34855,0.91945,0.0010496,0.0010496,0.0010496
50,4843.86,0.59768,0.35659,0.90007,0.93001,0.95488,0.96783,0.83451,0.63176,0.38245,0.93282,0.0010298,0.0010298,0.0010298
51,4947.01,0.59468,0.35304,0.89703,0.80723,0.92093,0.89945,0.7572,0.758,0.54519,1.04262,0.00101,0.00101,0.00101
52,5048.59,0.59331,0.35367,0.90087,0.90922,0.95541,0.96009,0.83111,0.62858,0.38415,0.93461,0.0009902,0.0009902,0.0009902
53,5150.95,0.59144,0.35239,0.89932,0.88119,0.93871,0.93881,0.79783,0.67979,0.45154,0.97713,0.0009704,0.0009704,0.0009704
54,5252.31,0.59,0.35135,0.89927,0.92056,0.9518,0.96981,0.83527,0.62953,0.38394,0.93331,0.0009506,0.0009506,0.0009506
55,5349.18,0.59374,0.3495,0.89908,0.91982,0.95102,0.96329,0.83407,0.63307,0.37261,0.93683,0.0009308,0.0009308,0.0009308
56,5447.3,0.59197,0.35172,0.89994,0.87168,0.93679,0.92509,0.78897,0.69946,0.48164,0.99547,0.000911,0.000911,0.000911
