epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.546,0.99422,1.1681,1.09602,0.77197,0.85305,0.88255,0.49469,1.60031,1.92346,1.25473,0.000664488,0.000664488,0.000664488
2,231.503,0.91146,1.61403,1.04928,0.82685,0.89637,0.91371,0.62939,1.14674,1.63568,1.08395,0.00106759,0.00106759,0.00106759
3,341.461,0.93385,1.85018,1.04967,0.88647,0.88421,0.92514,0.68825,1.05981,1.02966,1.06459,0.00120668,0.00120668,0.00120668
4,441.859,0.85887,1.3039,1.02775,0.90455,0.91053,0.93921,0.75365,0.90235,0.65719,1.01485,0.000812,0.000812,0.000812
5,544.61,0.80121,0.90728,1.01369,0.90259,0.91067,0.92982,0.75135,0.823,0.70759,0.99382,0.000416,0.000416,0.000416
